id_produto,nome_concorrente,preco_concorrente,data_coleta
prd_2293732b7542,Mercado Livre,65.45,2026-01-11 17:35:52
prd_2293732b7542,Amazon,67.52,2026-01-11 17:11:42
prd_2293732b7542,Shopee,70.97,2026-01-11 17:45:49
prd_84a009f1889d,Mercado Livre,31.25,2026-01-11 18:27:37
prd_84a009f1889d,Amazon,31.25,2026-01-11 16:50:51
prd_84a009f1889d,Magalu,33.89,2026-01-11 17:55:10
prd_84a009f1889d,Shopee,32.90,2026-01-11 11:50:41
prd_ff35b88df534,Mercado Livre,224.61,2026-01-11 10:51:39
prd_ff35b88df534,Amazon,211.90,2026-01-11 21:28:16
prd_ff35b88df534,Magalu,211.90,2026-01-11 20:11:23
prd_ff35b88df534,Shopee,194.95,2026-01-11 12:07:33
prd_38c1b898aecc,Mercado Livre,138.08,2026-01-11 17:05:13
prd_38c1b898aecc,Amazon,133.85,2026-01-11 15:43:21
prd_38c1b898aecc,Magalu,133.85,2026-01-11 19:44:37
prd_38c1b898aecc,Shopee,140.90,2026-01-11 21:49:06
prd_4ee65ed59110,Shopee,39.80,2026-01-11 16:01:04
prd_dfac11815029,Mercado Livre,200.34,2026-01-11 10:17:03
prd_dfac11815029,Amazon,173.88,2026-01-11 16:58:24
prd_dfac11815029,Magalu,185.22,2026-01-11 18:58:18
prd_dfac11815029,Shopee,189.00,2026-01-11 19:26:42
prd_334f4a32f979,Mercado Livre,396.41,2026-01-11 23:49:29
prd_334f4a32f979,Amazon,396.41,2026-01-11 13:26:41
prd_334f4a32f979,Magalu,384.27,2026-01-11 16:06:31
prd_334f4a32f979,Shopee,404.50,2026-01-11 18:35:03
prd_b7490508211e,Mercado Livre,209.00,2026-01-11 14:14:02
prd_b7490508211e,Amazon,226.60,2026-01-11 10:41:21
prd_b7490508211e,Magalu,220.00,2026-01-11 17:06:37
prd_b7490508211e,Shopee,220.00,2026-01-11 14:48:14
prd_23664e42a71c,Mercado Livre,109.90,2026-01-11 21:50:51
prd_23664e42a71c,Magalu,104.41,2026-01-11 19:14:19
prd_23664e42a71c,Shopee,104.41,2026-01-11 01:43:03
prd_045813f96891,Mercado Livre,157.29,2026-01-11 19:12:25
prd_045813f96891,Amazon,135.84,2026-01-11 12:29:17
prd_6d4e3b1efd0c,Mercado Livre,1174.19,2026-01-11 11:46:08
prd_6d4e3b1efd0c,Amazon,1082.99,2026-01-11 08:08:11
prd_6d4e3b1efd0c,Magalu,1139.99,2026-01-11 19:35:45
prd_6d4e3b1efd0c,Shopee,1174.19,2026-01-11 12:09:55
prd_afd58e5fd09d,Mercado Livre,465.46,2026-01-11 10:34:14
prd_afd58e5fd09d,Amazon,442.86,2026-01-11 08:00:26
prd_afd58e5fd09d,Magalu,442.86,2026-01-11 19:30:19
prd_afd58e5fd09d,Shopee,479.01,2026-01-11 17:07:01
prd_686e2aab873d,Mercado Livre,89.50,2026-01-11 12:09:58
prd_686e2aab873d,Amazon,89.50,2026-01-11 17:32:40
prd_686e2aab873d,Magalu,92.19,2026-01-11 16:21:51
prd_686e2aab873d,Shopee,87.71,2026-01-11 11:05:54
prd_a4025bac91a7,Mercado Livre,56.07,2026-01-11 11:32:28
prd_a4025bac91a7,Magalu,48.67,2026-01-11 11:00:21
prd_a4025bac91a7,Shopee,52.90,2026-01-11 16:48:40
prd_bf5d8671f7a9,Mercado Livre,113.91,2026-01-11 11:24:35
