id_venda,data_venda,id_cliente,id_produto,canal_venda,quantidade,preco_unitario
sal_adff6978b0c6,2025-12-13 17:38:09,cus_508a15ccf0fa,prd_96fbc500aec1,loja_fisica,2,64.79
sal_0648f0d17798,2025-12-13 10:32:35,cus_f64907d41a69,prd_686e2aab873d,ecommerce,1,89.50
sal_2cd165121973,2025-12-13 11:55:39,cus_78ab1cf16e12,prd_223c9b6a0a76,loja_fisica,2,69.69
sal_0cdb7d67970c,2025-12-13 20:48:10,cus_2b1b3e2a1515,prd_30518d908a92,ecommerce,1,80.99
sal_0ed16afae5b1,2025-12-13 22:15:13,cus_644bf6820c61,prd_ff35b88df534,ecommerce,1,190.71
sal_08d113b117c7,2025-12-13 17:34:00,cus_fa3a88d1ccef,prd_645f7859f379,loja_fisica,2,438.21
sal_0e72a777d9e1,2025-12-13 13:03:36,cus_ec8d75866856,prd_9239eec8982d,ecommerce,1,51.99
sal_e797f42a9d13,2025-12-13 15:08:06,cus_639110db69ed,prd_2255432fabe7,ecommerce,3,107.99
sal_b8b72b0d72c0,2025-12-13 11:32:02,cus_d36c11b261a6,prd_334f4a32f979,ecommerce,1,404.50
sal_5457926e6ab9,2025-12-13 16:20:59,cus_c3944101594c,prd_23664e42a71c,loja_fisica,2,109.90
sal_c65dcf8b6b96,2025-12-13 14:34:31,cus_4e62d52db97a,prd_205f309c1a21,loja_fisica,1,33.24
sal_d3178ce3b430,2025-12-13 23:50:57,cus_0343c0763f76,prd_22f73233f9a5,ecommerce,1,114.29
sal_8d2b01c183fe,2025-12-13 20:46:03,cus_644bf6820c61,prd_045813f96891,ecommerce,1,128.69
sal_1bf68443ac1f,2025-12-13 09:02:36,cus_4209c24e0be2,prd_dfac11815029,ecommerce,1,189.00
sal_4368a147d186,2025-12-13 18:32:49,cus_c3944101594c,prd_f063f46a7ef8,loja_fisica,2,1286.09
sal_fbf6b9a1e3aa,2025-12-13 17:42:30,cus_a8f8e01eaee8,prd_205f309c1a21,ecommerce,3,34.99
sal_3543d2134c4f,2025-12-13 14:43:41,cus_d4db3db9eccb,prd_a4025bac91a7,ecommerce,3,52.90
sal_c2f1b763a963,2025-12-13 13:49:18,cus_4e62d52db97a,prd_22f73233f9a5,ecommerce,1,98.70
sal_e63f081bb9ee,2025-12-13 21:18:07,cus_ec8d75866856,prd_c62100cc281c,loja_fisica,1,48.90
sal_4c4273ea3507,2025-12-13 20:18:02,cus_0ff4cceccc6f,prd_fce914504522,ecommerce,1,74.99
sal_679771c0c874,2025-12-13 16:52:34,cus_eae005fd3470,prd_c62100cc281c,ecommerce,1,44.01
sal_831620a60a53,2025-12-13 08:42:57,cus_a8f8e01eaee8,prd_206eacaa3048,ecommerce,1,105.29
